id_tanaman;foto;bobot_segar_gram
S001;S001.jpeg;27
S002;S002.jpeg;37
S003;S003.jpeg;30
S004;S004.jpeg;41
S005;S005.jpeg;43
S006;S006.jpeg;37
S007;S007.jpeg;34
S008;S008.jpeg;37
S009;S009.jpeg;28
S010;S010.jpeg;31
S011;S011.jpeg;29
S012;S012.jpeg;31
S013;S013.jpeg;19
S014;S014.jpeg;18
S015;S015.jpeg;24
S016;S016.jpeg;29
S017;S017.jpeg;25
S018;S018.jpeg;36
S019;S019.jpeg;33
S020;S020.jpeg;27
S021;S021.jpeg;27
S022;S022.jpeg;36
S023;S023.jpeg;35
S024;S024.jpeg;33
S025;S025.jpeg;28
S026;S026.jpeg;25
S027;S027.jpeg;37
S028;S028.jpeg;45
S029;S029.jpeg;37
S030;S030.jpeg;38
S031;S031.jpeg;27
S032;S032.jpeg;31
S033;S033.jpeg;38
S034;S034.jpeg;29
S035;S035.jpeg;32
S036;S036.jpeg;36
S037;S037.jpeg;33
S038;S038.jpeg;37
S039;S039.jpeg;32
S040;S040.jpeg;36
S041;S041.jpeg;38
S042;S042.jpeg;35
S043;S043.jpeg;31
S044;S044.jpeg;44
S045;S045.jpeg;31
S046;S046.jpeg;30
S047;S047.jpeg;36
S048;S048.jpeg;31
S049;S049.jpeg;30
S050;S050.jpeg;34
S051;S051.jpeg;31
S052;S052.jpeg;28
S053;S053.jpeg;38
S054;S054.jpeg;26
S055;S055.jpeg;38
S056;S056.jpeg;25
S057;S057.jpeg;36
S058;S058.jpeg;32
S059;S059.jpeg;33
S060;S060.jpeg;30
S061;S061.jpeg;34
S062;S062.jpeg;23
S063;S063.jpeg;29
S064;S064.jpeg;20
S065;S065.jpeg;26
S066;S066.jpeg;44
S067;S067.jpeg;45
S068;S068.jpeg;24
S069;S069.jpeg;25
S070;S070.jpeg;25
S071;S071.jpeg;27
S072;S072.jpeg;32
S073;S073.jpeg;29
S074;S074.jpeg;24
S075;S075.jpeg;26
S076;S076.jpeg;27
S077;S077.jpeg;28
S078;S078.jpeg;39
S079;S079.jpeg;31
S080;S080.jpeg;29
S081;S081.jpeg;34
S082;S082.jpeg;39
S083;S083.jpeg;36
S084;S084.jpeg;32
S085;S085.jpeg;26
S086;S086.jpeg;37
S087;S087.jpeg;38
S088;S088.jpeg;27
S089;S089.jpeg;32
S090;S090.jpeg;36
S091;S091.jpeg;29
S092;S092.jpeg;29
S093;S093.jpeg;45
S094;S094.jpeg;28
S095;S095.jpeg;23
S096;S096.jpeg;36
S097;S097.jpeg;28
S098;S098.jpeg;42
S099;S099.jpeg;39
S100;S100.jpeg;29
