Aktual (g),Prediksi (g),Error (g),|Error| (g),MAPE (%)
39.0,38.9,0.1,0.1,0.25
38.0,38.27,-0.27,0.27,0.7
31.0,31.33,-0.33,0.33,1.06
25.0,24.47,0.53,0.53,2.11
25.0,25.75,-0.75,0.75,2.98
38.0,38.94,-0.94,0.94,2.47
37.0,36.06,0.94,0.94,2.53
36.0,35.01,0.99,0.99,2.75
37.0,38.01,-1.01,1.01,2.74
25.0,26.08,-1.08,1.08,4.3
27.0,25.88,1.12,1.12,4.14
31.0,32.13,-1.13,1.13,3.65
44.0,45.25,-1.25,1.25,2.84
26.0,27.42,-1.42,1.42,5.44
27.0,28.56,-1.56,1.56,5.79
33.0,31.41,1.59,1.59,4.81
24.0,26.03,-2.03,2.03,8.45
33.0,35.16,-2.16,2.16,6.55
28.0,25.62,2.38,2.38,8.5
36.0,33.34,2.66,2.66,7.39
44.0,46.72,-2.72,2.72,6.18
28.0,25.02,2.98,2.98,10.63
34.0,36.98,-2.98,2.98,8.76
36.0,32.78,3.22,3.22,8.95
30.0,26.7,3.3,3.3,11.01
26.0,29.64,-3.64,3.64,14.0
27.0,30.72,-3.72,3.72,13.76
31.0,27.23,3.77,3.77,12.17
26.0,29.94,-3.94,3.94,15.15
36.0,31.88,4.12,4.12,11.44
36.0,31.88,4.12,4.12,11.45
25.0,29.48,-4.48,4.48,17.94
43.0,38.18,4.82,4.82,11.2
29.0,24.05,4.95,4.95,17.07
29.0,24.01,4.99,4.99,17.21
45.0,39.84,5.16,5.16,11.46
30.0,24.77,5.23,5.23,17.43
28.0,33.68,-5.68,5.68,20.29
25.0,31.34,-6.34,6.34,25.38
38.0,29.98,8.02,8.02,21.12
